cell_id,model,ip,identity,question,timestamp_iso,model_version_observed,response_length_chars,refusal,terminology,perspective,accuracy,hedging,notes
chatgpt_tw_N_Q1,chatgpt,tw,N,Q1,2026-05-15T03:13:12.221715+00:00,,938,,,,,,
chatgpt_tw_N_Q2,chatgpt,tw,N,Q2,2026-05-15T03:37:03.456279+00:00,,1838,,,,,,
chatgpt_tw_T_Q1,chatgpt,tw,T,Q1,2026-05-15T03:22:50.682485+00:00,,1268,,,,,,
chatgpt_tw_T_Q2,chatgpt,tw,T,Q2,2026-05-15T03:23:40.247328+00:00,,1512,,,,,,
chatgpt_tw_C_Q1,chatgpt,tw,C,Q1,2026-05-15T03:24:30.423220+00:00,,1097,,,,,,
chatgpt_tw_C_Q2,chatgpt,tw,C,Q2,2026-05-15T03:25:17.645940+00:00,,1660,,,,,,
gemini_tw_N_Q1,gemini,tw,N,Q1,2026-05-15T02:44:07.811394+00:00,,830,,,,,,
gemini_tw_N_Q2,gemini,tw,N,Q2,2026-05-15T02:44:32.812590+00:00,,1036,,,,,,
gemini_tw_T_Q1,gemini,tw,T,Q1,2026-05-15T02:44:56.485050+00:00,,867,,,,,,
gemini_tw_T_Q2,gemini,tw,T,Q2,2026-05-15T02:45:21.885673+00:00,,1061,,,,,,
gemini_tw_C_Q1,gemini,tw,C,Q1,2026-05-15T02:45:44.015857+00:00,,635,,,,,,
gemini_tw_C_Q2,gemini,tw,C,Q2,2026-05-15T02:46:09.176698+00:00,,912,,,,,,
deepseek_tw_N_Q1,deepseek,tw,N,Q1,2026-05-15T03:28:12.335651+00:00,,335,,,,,,
deepseek_tw_N_Q2,deepseek,tw,N,Q2,2026-05-15T04:45:58.135865+00:00,,1337,,,,,,
deepseek_tw_T_Q1,deepseek,tw,T,Q1,2026-05-15T03:37:20.393114+00:00,,40,,,,,,
deepseek_tw_T_Q2,deepseek,tw,T,Q2,2026-05-15T04:49:52.042597+00:00,,952,,,,,,
deepseek_tw_C_Q1,deepseek,tw,C,Q1,2026-05-15T03:29:02.532275+00:00,,66,,,,,,
deepseek_tw_C_Q2,deepseek,tw,C,Q2,2026-05-15T04:47:44.359714+00:00,,1417,,,,,,
chatgpt_hk_N_Q1,chatgpt,hk,N,Q1,,,,,,,,,
chatgpt_hk_N_Q2,chatgpt,hk,N,Q2,,,,,,,,,
chatgpt_hk_T_Q1,chatgpt,hk,T,Q1,,,,,,,,,
chatgpt_hk_T_Q2,chatgpt,hk,T,Q2,,,,,,,,,
chatgpt_hk_C_Q1,chatgpt,hk,C,Q1,,,,,,,,,
chatgpt_hk_C_Q2,chatgpt,hk,C,Q2,,,,,,,,,
gemini_hk_N_Q1,gemini,hk,N,Q1,2026-05-15T03:47:26.314987+00:00,,927,,,,,,
gemini_hk_N_Q2,gemini,hk,N,Q2,2026-05-15T03:48:14.719132+00:00,,994,,,,,,
gemini_hk_T_Q1,gemini,hk,T,Q1,2026-05-15T03:49:05.763342+00:00,,880,,,,,,
gemini_hk_T_Q2,gemini,hk,T,Q2,2026-05-15T03:49:53.709412+00:00,,999,,,,,,
gemini_hk_C_Q1,gemini,hk,C,Q1,2026-05-15T03:50:41.648869+00:00,,708,,,,,,
gemini_hk_C_Q2,gemini,hk,C,Q2,2026-05-15T03:51:36.491399+00:00,,1118,,,,,,
deepseek_hk_N_Q1,deepseek,hk,N,Q1,2026-05-15T03:52:24.768998+00:00,,175,,,,,,
deepseek_hk_N_Q2,deepseek,hk,N,Q2,2026-05-15T04:53:52.637850+00:00,,1411,,,,,,
deepseek_hk_T_Q1,deepseek,hk,T,Q1,2026-05-15T03:54:01.617443+00:00,,53,,,,,,
deepseek_hk_T_Q2,deepseek,hk,T,Q2,2026-05-15T04:54:49.516071+00:00,,1333,,,,,,
deepseek_hk_C_Q1,deepseek,hk,C,Q1,2026-05-15T03:55:38.548779+00:00,,41,,,,,,
deepseek_hk_C_Q2,deepseek,hk,C,Q2,2026-05-15T04:55:46.494970+00:00,,1091,,,,,,
