victim_uid,D1,D4,note
v01,M0,INVEST,實體公司說明會與面交匯款無網站APP
v02,M0,INVEST,口頭招攬投資博弈事業並面交匯款無網站APP
v03,M0,IMPGOV,面對面簽約偽造基金會文件無網站APP
v05,M3,INVEST,Cloud Token自有投資APP為核心
v06,M0,INVEST,僅LINE接觸加現金面交未述網站APP
v08,M1,INVEST,判決明載加入投資網站
v09,M0,INVEST,TikTok接觸但核心投資介面不明
v10,M0,INVEST,METAMASK是真實APP且損失為現金面交
v11,M0,INVEST,LINE投資話術加ATM匯款未述網站APP
v12,M4,INVEST,LINE群組喊單加偽造文件面交無網站
v13,M4,INVEST,LINE群組投顧加偽造證券文件面交無網站
v14,M0,INVEST,LINE接觸匯款至人頭帳戶未述網站APP
v15,M0,INVEST,假冒證券文件現金面交且觸及媒介不明
v16,M4,OTHER,電話後轉LINE假冒親友借款無網站
v17,M4,INVEST,LINE投資群組喊單加偽造收據面交無網站
